Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.85284117,12.82105695,12.06297339,12.25624909,12.38322877,12.7057925,11.74370889,12.0187499,11.76057914,11.40736985,11.75607846,11.4189195,10.91109416,12.16551844,13.0299482,12.51791494,13.37993141,12.07348418,11.85644955,9.11489406,9.6009744,9.891988335,8.861280029,8.615778376,8.246806883,7.630095893,7.585341811,7.613772098,7.413327479,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.38489248,13.96719585,14.47359756,17.1101275,15.05579812,14.35034075,15.42852257,15.25425377,14.45887051,13.43867746,12.85908587,11.69191317,11.98479772,11.87395669,11.630139,11.5824835,10.97671218,10.95633255,10.53802161,8.375973894,8.091913916,7.642047062,6.790296734,6.545364946,6.542677871,6.579886438,6.088811431,6.03378359,5.875617507,5.485393933,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.804333433,,,,,,7.942923869,8.114099549,7.781779536,7.513664873,7.753681874,7.551344112,8.701332316,7.791678164,7.630883418,6.81867898,6.274818495,7.018586854,7.53771295,7.127165694,5.345863775,5.976268866,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.008987511,7.778887608,8.500410365,8.986482053,8.774837173,9.205194399,9.835135471,9.304203308,7.834618045,8.392620438,8.483797304,6.364800919,6.852461251,6.065423657,5.528936668,5.47563538,5.679760474,5.920124847,6.029350528,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.05734767,12.66973533,3.471208435,12.16457236,8.87128834,,,9.586876183,15.29599955,16.06447787,15.86131158,12.71974015,6.975616601,5.298615195,5.395922576,6.64862917,8.319925347,9.04526308,5.139211741,7.518945498,7.451603588,6.201421959,5.47488001,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.68659539,11.09758717,,,,,,,,6.163423139,6.607581019,9.004176386,10.00518048,6.861640555,5.89305908,6.704591799,7.408292318,,7.229489022,,,4.822770671,8.114016707,,11.84026286,11.90359134,10.44407006,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86023135,8.877802811,9.100718692,8.977051731,9.748654756,10.80205239,10.20486231,10.67696704,14.84106437,8.958094768,10.93292153,11.1437867,11.47224133,12.07032528,12.24904293,12.44373838,13.11461055,13.03851168,11.58612878,11.65572553,13.92629588,13.08629747,12.35314371,10.69949343,11.20234052,11.34472275,10.58912898,10.47208886,11.1202389,11.45299965,11.62764257,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58766032,2.445150707,1.791622131,1.934569027,2.334527825,2.081909891,2.738343538,2.426661006,1.82692971,2.234084618,1.945736697,1.936060671,1.693699658,1.778469405,1.987630991,1.468904158,1.264213184,1.572052402,1.60227033,1.566938972,1.773926341,1.777506161,2.064144569,1.67838682,1.759510583,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
