Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,101000,,,,95000,95000,90000,92000,92000,102000,130000,120900,125500,124000,122500,116500,122200,117300,114100,116000,116000,103000,103000,103000,103771,103771,103750,106100,106100,109450,109450,121900,122000,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,3900000,,,,3900000,3500000,3200000,3160000,3030000,2930000,4130000,4135000,3640000,3820000,3820000,3910000,3810000,3770000,3750000,3755000,3755000,3605000,2885000,2885000,2945000,2945000,2945000,2993000,2993000,2993000,2843000,2695000,2695000,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,,,,,18000,19000,,19000,19000,18550,,,,,25000,25000,25000,27000,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,7300,,,,21000,23000,24000,12000,12000,12000,23600,22100,22100,22100,22100,22100,31100,32100,32100,23000,23000,,23000,23000,23100,23200,23100,23200,23200,23200,23400,23400,24000,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,48000,,,,51000,55000,60000,45000,40000,40000,65100,65100,77000,87000,92900,92900,81400,81400,97800,64000,65000,,143000,151000,159000,159000,134250,134250,134250,134250,134250,134250,134000,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,8700,,,,15000,9000,9000,10000,10000,10000,16700,15000,15000,15000,15000,15000,12000,12000,12000,12000,12000,,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,66200,,,,91000,110000,110000,139000,139000,146000,233400,233300,233300,233300,231000,247000,262600,262600,304600,336000,336000,398000,411000,411000,441828,441828,440224,440224,455750,455750,481100,481100,481000,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,7700,,,,3000,1000,1000,1000,1000,1000,1150,1150,1150,1150,1200,1200,1300,1300,1300,1000,1000,,1000,1000,1200,1200,1200,1200,1200,1200,1200,1200,1000,,
