Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cyprus,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240
Czech Republic,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77270,77260,77260,77250,77250,77250,77250,77240,77240,77230,77220,77220,77210,77220,77220,77220
Germany,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349130,349120,349110,349100,349090,349050,349020,348980,348950,348900,348860,348810,348770,348760,348720,348670,348630,348610,348570,348560,348540,348880,348900,348858.9844,349360,349360,349360
Djibouti,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180
Dominica,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
Denmark,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42370,42380,42380,42380,42380,42380,42380,42380,42380,42390,42390,42390,42390,42390,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,42430,41990,41990,41990,41990,41990,41990,41990
Dominican Republic,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310
Algeria,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740
East Asia & Pacific (excluding high income),15928630,15928630,15928630,15928630,15928630,15928630,15928630,15928630,15928630,15928630,15928630,15928630,15928600,15928560,15928540,15928540,15928540,15928540,15928540,15928540,15928540,15928540,15928540,15928540,15928540,15928540,15928540,15928540,15928540,15928540,15929420,15929420,15929420,15929420,15929410,15929400,15929400,15929400,15929400,15914960,15914984.38,15914443.13,15913962.5,15913842.5,15913781.88,15913891.25,15913940.63,15913730.63,15913721.25,15913681.25,15913711.25,15913571.25,15913501.25,15913501.25,15913501.25,15913500,15913500,15913500
Early-demographic dividend,33145133,33145133,33145133,33145133,33145133,33145133,33145133,33145133,33145133,33145133,33145133,33145133,33145103,33145063,33145043,33144913,33144913,33144913,33144913,33144913,33144913,33144913,33144913,33144913,33144913,33144913,33144913,33144913,33144913,33144913,33145613,33145633,33145633,33138710,33138710,33138710,33138710,33110230,33110230,33110580,33110580,33110580,33110400,33108587,33108537,33108707,33108777,33108577,33109107,33109059,33109094,33108957,33108887,33107714,33107725,33107752,33107752,33107752
East Asia & Pacific,24402270,24402270,24402270,24402270,24402270,24402270,24402270,24402270,24402270,24402270,24402270,24402170,24402140,24402100,24401970,24401970,24401860,24401860,24401860,24401760,24401860,24401650,24401650,24400150,24400050,24400150,24400050,24400050,24400050,24400050,24401850,24401850,24401850,24401850,24401900,24401790,24401790,24401790,24401790,24387350,24387660.37,24387175.13,24386716.5,24386619.5,24386588.88,24386733.85,24386824.83,24386689.83,24386750.75,24386902.95,24386930.15,24386917.15,24386964.55,24386970.55,24386985.65,24396748.4,24396748.4,24396748.4
Europe & Central Asia (excluding high income),22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22639404,22638414,22638414,22638524,22638524,22634834,22630024,22627044,22626654,22627344,22629919,22636742,22629562,22628661,22627485,22627599,22627899,22627977,22624344,22623996,22623124,22623139,22623203,22623335,22623195,22623224.01,22622129,22622148.01,22622175.01,22622175.01,22611288.01
Europe & Central Asia,27358694,27358674,27358684,27358684,27358674,27358664,27358654,27358644,27358644,27358634,27358624,27358624,27358624,27358594,27358474,27358394,27358374,27358374,27358344,27358264,27358244,27358234,27358194,27358205,27358205,27358205,27358215,27358205,27357215,27357215,27357325,27357365,27353655,27348835,27345845,27345514,27414853,27417327,27424109,27448988.98,27447556.98,27446859.98,27447382.98,27447431.98,27447357.98,27443073.98,27442782.98,27441352.18,27442170.78,27443589.17,27443456.97,27440139.68,27441415.2,27440239.6,27439683.2,27440113.59,27440113.59,27429224.59
