Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Latin America & Caribbean,20071304.43,20071304.43,20071304.43,20071304.43,20071304.43,20071304.43,20071304.43,20071304.43,20071304.43,20071304.43,20071304.43,20071304.43,20071304.43,20071304.43,20071444.43,20071314.43,20071314.43,20071314.43,20071314.43,20071224.43,20071224.43,20071224.43,20071224.43,20071224.43,20071224.43,20071224.43,20071224.43,20071224.43,20071224.43,20071224.43,20071224.43,20071224.43,20071224.43,20071224.43,20071224.43,20071224.43,20071224.43,20042744.43,20042744.43,20042744.43,20042744.43,20041734.43,20041744.43,20041754.43,20041784.43,20041774.43,20041784.43,20041784.43,20041784.43,20041784.43,20042207.43,20041793.44,20039564.43,20039364.43,20039364.43,20039364.43,20039364.43,20038832.03
Least developed countries: UN classification,17771344,17771344,17771344,17771344,17771344,17771344,17771344,17771344,17771344,17771344,17771344,17771344,17771344,17770944,17770544,17770544,17770544,17770544,17770544,17770544,17770544,17770544,17770544,17770544,17770544,17770544,17770544,17770544,17770544,17770544,17770544,17770544,17770544,17763621,17763621,17763621,17763621,17763621,17763621,17763971,17763971,17763971,17763971,17762168,17762108,17762218,17762268,17762058,17762048,17762718,17763003,17762863,17762798,17762798,17762798,17762825,17762825,17762825
Low income,13652170,13652170,13652170,13652170,13652170,13652170,13652170,13652170,13652170,13652170,13652170,13652170,13652170,13651770,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651370,13651720,13651720,13651720,13651530,13651510,13651510,13651570,13651580,13651580,13651580,13652280,13652535,13652535,13652540,13651366,13651370,13651370,13651370,13651370
Liechtenstein,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Sri Lanka,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710
Lower middle income,20165814,20165814,20165814,20165814,20165814,20165814,20165814,20165814,20165814,20165814,20165814,20165814,20165744,20165704,20165684,20165554,20165554,20165554,20165554,20165554,20165554,20165554,20165554,20165554,20165554,20165554,20165554,20165554,20165554,20165554,20166254,20166254,20166334,20159401,20159391,20159391,20159381,20159371,20159361,20144911,20144941,20144391,20143901,20142108,20142098,20142188,20142208,20141988,20141978,20141898,20141928,20141798,20141748,20141708,20141718,20141755,20141755,20141755
Low & middle income,92284358,92284358,92284358,92284358,92284358,92284358,92284358,92284358,92284358,92284358,92284358,92284358,92284288,92283848,92283568,92283438,92283438,92283438,92283438,92283438,92283438,92283438,92283438,92283438,92283438,92283438,92283438,92283438,92282448,92282448,92283438,92283438,92279748,92268015,92265025,92264625,92265315,92239410,92246233,92224963,92224086.38,92221359.12,92220812.5,92219299.5,92219346.87,92215873.25,92215594.63,92214512.63,92212008.25,92212732.25,92213572.25,92212878.25,92210421.27,92209126.26,92209145.26,92209198.01,92209198.01,92198311.01
Lesotho,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360
Late-demographic dividend,44547515.03,44547515.03,44547515.03,44547515.03,44547515.03,44547515.03,44547515.03,44547515.03,44547515.03,44547515.03,44547515.03,44547515.03,44547475.03,44547475.03,44547615.03,44547615.03,44547615.03,44547615.03,44547615.03,44547615.03,44547615.03,44547615.03,44547615.03,44547615.03,44547615.03,44547615.03,44547615.03,44547615.03,44546625.03,44546625.03,44546735.03,44546735.03,44543045.03,44538235.03,44535245.03,44534845.03,44535535.03,44538110.03,44544933.03,44523313.03,44522436.41,44522569.16,44522192.53,44522602.53,44522739.91,44519056.28,44518757.66,44517875.66,44517975.28,44518020.28,44518049.28,44517879.28,44518990.28,44518996.28,44519008.28,44519022.03,44519022.03,44519022.03
Lithuania,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62680,62675,62675,62675,62673.99902,62673.99902,62675,62650,62650,62642.00195,62642.00195,62642.00195
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430,2430
Latvia,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196,62196.00098,62196.00098,62196.00098,62196.00098,62196.00098,62196.00098,62196.00098,62196.00098,62196.00098,62196.00098,62196.00098,62196.00098,62196.00098,62196.00098,62196.00098,62196.00098,62196.00098,62180,62240,62200,62180,62190,62180,62180,62180,62180,62180
"Macao SAR, China",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.99999905,27.00000048,27.00000048,27.99999952,27.99999952,28.59999895,29.20000076,29.20000076,29.50000048,29.70000029,29.9000001,29.9000001,30.29999971,30.29999971,30.39999962,30.39999962,30.39999962,30.39999962
St. Martin (French part),54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,
Morocco,446340,446340,446340,446340,446340,446340,446340,446340,446340,446340,446340,446340,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300
Monaco,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Moldova,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32870,32950,32940,32930,32930,32920,32910,32900,32880,32880,32880,32870,32880,32890,32890,32890,32890,32890,32850,32850,32860,32880,32870,32880,32890,32890,32890
Madagascar,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581795,581795,581800,581800,581800,581800,581800,581800
Maldives,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Middle East & North Africa,11226270,11226270,11226270,11226270,11226270,11226270,11226270,11226270,11226270,11226270,11226270,11226270,11226230,11226230,11226230,11226230,11226230,11226230,11226230,11226230,11226230,11226230,11226230,11226230,11226230,11226230,11226230,11226230,11226230,11226230,11226230,11226250,11226250,11226250,11226250,11226250,11226250,11226250,11226250,11226250,11226250,11226250,11226070,11226060,11226070,11226130,11226150,11226160,11223650,11223642,11223647,11223650,11223458.01,11223459.01,11223466.01,11223466.01,11223466.01,11223466.01
Mexico,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Middle income,78632188,78632188,78632188,78632188,78632188,78632188,78632188,78632188,78632188,78632188,78632188,78632188,78632118,78632078,78632198,78632068,78632068,78632068,78632068,78632068,78632068,78632068,78632068,78632068,78632068,78632068,78632068,78632068,78631078,78631078,78632068,78632068,78628378,78616645,78613655,78613255,78613945,78588040,78594863,78573243,78572366.38,78569639.12,78569282.5,78567789.5,78567836.87,78564303.25,78564014.63,78562932.63,78560428.25,78560452.25,78561037.25,78560343.25,78557881.27,78557760.26,78557775.26,78557828.01,78557828.01,78546941.01
North Macedonia,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25430,25230,25230,25220,25220,25220,25220,25220,25220,25220,25220,25220,25220
Mali,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190
Malta,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
Myanmar,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653540,653420,653360,653470,653520,653310,653300,653260,653290,653150,653080,653080,653080,653080,653080,653080
Middle East & North Africa (excluding high income),8643980,8643980,8643980,8643980,8643980,8643980,8643980,8643980,8643980,8643980,8643980,8643980,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643940,8643750,8643730,8643730,8643790,8643800,8643800,8641290,8641280,8641280,8641280,8641088.008,8641088.008,8641088.008,8641088.008,8641088.008,8641088.008
Montenegro,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450,13450
Mongolia,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560,1553560
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
Mozambique,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380
Mauritania,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700
Mauritius,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
Malawi,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280
Malaysia,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550
North America,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18252524,18255484,18255484,18255484,18255484,18255484,18255484,18255484,18255484,18240984,18240984,18240984,18240984,18240984,18240984,18240984,18240984,18240984,18240984,18240984
Namibia,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290
New Caledonia,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280
Niger,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700
Nigeria,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770
Nicaragua,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340
Netherlands,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33760,33730,33730,33720,33720,33690,33690,33690,33690,33690,33690
Norway,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365243.9844,365123.0078,365123.0078,365123.0078,365123.0078,365123.0078,365123.0078
Nepal,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143000,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350,143350
Nauru,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
New Zealand,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310
OECD members,34449566.03,34449546.03,34449556.03,34449556.03,34449546.03,34449536.03,34449526.03,34449516.03,34449516.03,34449506.03,34449496.03,34449396.03,34449396.03,34449366.03,34449146.03,34449066.03,34448946.03,34448946.03,34448916.03,34448736.03,34448816.03,34448606.03,34448566.03,34447077.03,34446977.03,34447077.03,34446987.03,34446977.03,34446977.03,34446977.03,34446977.03,34447017.03,34446997.03,34446987.03,34446977.03,34446866.03,34446765.03,34446734.03,34446693.03,34481713.01,34481462.01,34481991.01,34482410.01,34482129.01,34482007.01,34481386.01,34481483.01,34466494.21,34467367.81,34468912.21,34468643,34465590.71,34466953.22,34466876.63,34466316.23,34476483.62,34476483.62,34476483.62
Oman,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500
Other small states,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039233.998,2039253.998,2039253.998,2032331,2032331,2032331,2032331,2032331,2032331,2032331,2032331,2032331,2032341,2030668,2030678,2030678,2030688,2030698,2030698,2030700,2030705,2030708,2031788,2031789,2031796,2031822.999,2031822.999,2031822.999
Pakistan,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880
Panama,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340,74340
Peru,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000
Philippines,298260,298260,298260,298260,298260,298260,298260,298260,298260,298260,298260,298260,298230,298190,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
Papua New Guinea,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860,452860
Poland,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306290,306240,306330,306330,306320,306320,306300,306280,306280,306230,306220,306210,306190,306190,306190,306190,306190
Pre-demographic dividend,17792411,17792411,17792411,17792411,17792411,17792411,17792411,17792411,17792411,17792411,17792411,17792411,17792411,17792011,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17791611,17788561,17789271,17789526,17789526,17789339.01,17789339.01,17789339.01,17789339.01,17789339.01,17789339.01
Puerto Rico,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870
"Korea, Dem. People’s Rep.",120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410,120410
Portugal,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91500,91470,91470,91470,91470,91590,91590,91590,91590,91605.19531,91605.5957,91605.5957,91605.5957,91605.5957,91605.5957
Paraguay,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300,397300
West Bank and Gaza,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020
Pacific island small states,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,62860,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200,64200
Post-demographic dividend,31452928,31452908,31452918,31452918,31452908,31452898,31452888,31452878,31452878,31452868,31452858,31452758,31452758,31452728,31452498,31452418,31452288,31452288,31452258,31452078,31452158,31451938,31451898,31450409,31450309,31450409,31450319,31450309,31450309,31450309,31450309,31450349,31450329,31450319,31450369,31450328,31450227,31450126,31450085,31485104.98,31484859.98,31482534.98,31482985.98,31482657.98,31482505.98,31481930.58,31481989.18,31467015.38,31467805.28,31469370.87,31469629.87,31466195.58,31464248.5,31464046.9,31463489.6,31473668.99,31473668.99,31473668.99
French Polynesia,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660
Qatar,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610
Romania,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,230340,229350,229350,229460,229460,229460,229510,229490,229520,229530,229590,229600,229710,229710,229870,229950,230000,229980,229980,229890,229900,230060,230050,230170,230020,230030,230080,230080,230080,230080,230080
